"Ad Impressions","Channel Image","Channel Name","Video Name","Content Category","Video Language","Video Format","Video Minutes","Childrens Content","Video Views","Channel Views","Channel Subs","Channel Origin","Video URL","Channel URL"
5109,"https://yt3.ggpht.com/FH_bPbRabAXHk9E4bAOttA1zQ8z6sdIgqtRd_netsR2UQ1KCnMglzjKnC4ioxG2KwyKfeVW3AA=s88-c-k-c0x00ffffff-no-rj","Kızılcık Şerbeti","Kızılcık Şerbeti 58. Bölüm  @showtv","Entertainment","Turkish","Long Form",137,0,"13274314","2188467874","2070000","TR","https://www.youtube.com/watch?v=W84wtQwj29k","https://www.youtube.com/channel/UCRfLDCtkSwmTdwHrbmC78Xg"
4686,"https://yt3.ggpht.com/YSacGj-AQ0xMMyxtPmCVqzfHq1E09LGeX8_UtFr6wUtCl5B-HcpXsIJdjkgjKtUOnP0Rp7DiBUk=s88-c-k-c0x00ffffff-no-rj","Topper Guild","I Built 10 SECRET Rooms You'd NEVER Find!","Entertainment","English","Long Form",74,0,"9140990","20479991743","46500000","US","https://www.youtube.com/watch?v=Fc6reEmvvYk","https://www.youtube.com/channel/UCPuEAY09CtdTzFNWuqVZgDw"
4360,"https://yt3.ggpht.com/ytc/AIdro_kepdljDpMvzE0iWTq2As3JT3IwvzTUfXoBeWGXd5xLGyw=s88-c-k-c0x00ffffff-no-rj","The Norris Nuts","CHEAP vs EXPENSIVE WATERPARK RIDES w/Norris Nuts","People & Blogs","English","Long Form",40,0,"5920451","4520663880","7750000","AU","https://www.youtube.com/watch?v=BSzBsxHyV-w","https://www.youtube.com/channel/UCYd0us2OtW4d4-1cfpT2ktw"
4246,"https://yt3.ggpht.com/mdLQ_AP35nEMgCDSuOqj7l32s-2edWv8WEmZY8fxPiJ4tI5gWM867-P76O9l8vMxYFX-SkKBIA=s88-c-k-c0x00ffffff-no-rj","Ben Azelart","I Built a SECRET McDonald's in My Room!","Entertainment","English","Long Form",25,0,"55587214","7662014600","32000000","US","https://www.youtube.com/watch?v=v3mTRLpA2Rk","https://www.youtube.com/channel/UCwVg9btOceLQuNCdoQk9CXg"
3907,"https://yt3.ggpht.com/hUrDI5Q0fIt4sWIfNkDYkXkg3bmSfw2xgJvKYq5NKmlqvUDYmJzagMaPMkArbZyD4CXP1C08=s88-c-k-c0x00ffffff-no-rj","BBC Earth","Two Hours of 4K Nature Scenes | 4K UHD | BBC Earth","Pets & Animals","English","Long Form",140,0,"20931726","4912770985","13000000","GB","https://www.youtube.com/watch?v=SIm3nKfJnFE","https://www.youtube.com/channel/UCwmZiChSryoWQCZMIQezgTg"
3209,"https://yt3.ggpht.com/p7KN4DYjXWFMMY6M_M3laXoHxQG56eJexK5UqU4OX6_593RCs0xKVZ-jBT0_Cc5j6HvtW_-0ULY=s88-c-k-c0x00ffffff-no-rj","TRIP IN A VAN ","Living the Dream: Offshore Trip to SLEEP on the Great Barrier Reef🎣😎 | NEW BOAT TOUR🤙","Travel & Events","English","Long Form",32,0,"147327","42101937","191000","AU","https://www.youtube.com/watch?v=IskJjvpBkcU","https://www.youtube.com/channel/UCk76MuEulkpZ0XMt9DIKlOQ"
2524,"https://yt3.ggpht.com/7_PlUZ2YqiAop3GT02l7PEMpnHUqwqzyf48pefu64UNQLmwdEhUEJqaMHb1AcZrMus6_nK1O=s88-c-k-c0x00ffffff-no-rj","JStu","Overnight in Micro A-Frame Cabins!","Entertainment","English","Long Form",52,0,"4899200","2527834751","8220000","US","https://www.youtube.com/watch?v=JAlaPSTHCmY","https://www.youtube.com/channel/UCZpRTwgtk1H0cUAWrHZ1gzg"
2430,"https://yt3.ggpht.com/8Yat-ht6uSglpKe5BonuiW3ZeaoU89MP0652EWzITq0lMWYD99Ak1pZXdZlqrSjUVm5WRjErnA=s88-c-k-c0x00ffffff-no-rj","Stay Wild","Build a Car With Trash, Win $1,000!","Entertainment","English","Long Form",31,0,"16214768","1910773665","7390000","US","https://www.youtube.com/watch?v=av-Nivu1kGM","https://www.youtube.com/channel/UClQ3NafOy_42dJ0toK3QUKw"
2405,"https://yt3.ggpht.com/5Wa2b_nnUKTA9sgP1NOpwqqby8ZICOku_qiEcEWxjnifCOkjkCV4RpxPmv7g3yR4QknGjwwxLA=s88-c-k-c0x00ffffff-no-rj","Yalı Çapkını","Yalı Çapkını 65. Bölüm","Entertainment","Turkish","Long Form",137,0,"13074506","4545808179","6150000","TR","https://www.youtube.com/watch?v=srAvHthC1q0","https://www.youtube.com/channel/UCyahIZNtNmqK1LeNF0KlFZw"
2242,"https://yt3.ggpht.com/NFhjtVeYCaWhsvWw6r4wlICtIXQmMV1uJG0FAqDjZm0b7UuFfsDLqlWa-Us7vxUENGebVPIvzw=s88-c-k-c0x00ffffff-no-rj","Aldatmak","Aldatmak 64. Bölüm","Entertainment","Turkish","Long Form",147,0,"2673971","465505394","547000","TR","https://www.youtube.com/watch?v=khWuFg1mxxk","https://www.youtube.com/channel/UClhDHQPDg9-pjWTolCJwdXA"
